RegistrationType,Modalities,Subject,TimeElapsed,PreLandmarkError,PostLandmarkError
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_003,63.908835887908936,3.355994901265485,3.5464352005899205
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_004,35.132545948028564,3.7337491832678276,2.476091854445873
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_032,25.554816961288452,3.219103390285459,2.5001892485166413
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_035,25.29109811782837,1.2750469233121475,1.3259205112588852
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_061,64.31808423995972,3.8785892161461533,4.009661960303875
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_095,37.99673390388489,2.9612392278166046,1.5063020526606634
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_059,37.762333393096924,3.7728498408896356,3.381191682761032
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_092,41.689759969711304,2.970962483532722,1.238859132589114
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_066,42.71810603141785,4.841603265413882,3.4001754417781855
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_050,24.706647157669067,4.173087594853652,3.8244569718233667
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_068,41.52635478973389,4.252609759845673,3.3008833429585693
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_057,45.13364005088806,3.927616510586583,2.9547122299997284
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_034,42.60031986236572,1.345177968644246,1.1033984438035354
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_033,39.806999921798706,1.74535599249993,1.593711266010569
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_005,44.423141956329346,3.083499712092545,1.9839377191104821
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_002,31.168187141418457,2.325255458393975,1.9188654558458478
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_069,42.71734809875488,3.4853685607022498,3.7676441524459108
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_056,30.51604723930359,4.266743079815105,2.387449103644462
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_051,35.19549798965454,6.082080114789832,4.982786512713588
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_058,40.78350806236267,6.74604248751786,4.845832873491598
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_067,35.41399097442627,3.406318602206775,3.0786268354455846
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_093,58.547954082489014,2.5415785646855986,1.933730719668954
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_094,45.00107789039612,6.554793801288981,3.5272918413925756
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_060,31.3594651222229,2.8848732740042484,1.8678763423159737
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_112,46.99071216583252,13.16286967365499,3.4196618092077884
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_115,30.63641119003296,14.946357481233326,12.361302479707083
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_123,65.69273805618286,10.983175804001249,2.0652360522411968
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_124,58.84859800338745,9.94494727163389,4.112702312641223
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_125,58.19067692756653,7.593385071253981,1.6609665557042423
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_122,37.223695039749146,7.806948656341601,1.7771112379434741
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_114,38.16032886505127,7.806496655493366,3.5335703391257147
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_113,32.35103392601013,15.454531310228797,9.030632520717887
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_140,49.93804311752319,5.120132231036611,2.0275230818356382
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_131,44.916266679763794,13.8369648804963,5.0203134008713075
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_109,42.24111795425415,12.228604080978872,4.2447867850297705
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_136,64.31819581985474,5.433871424373071,4.3717707120406475
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_100,32.20767521858215,20.335147713083714,7.42480573233686
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_138,40.96168923377991,12.846957864527479,1.534283698784626
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_107,48.68329381942749,25.62864275936098,5.190465671418973
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_139,34.42695689201355,23.497705963256585,3.563292635477772
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_106,59.77660298347473,9.438360173687261,7.653226344075383
"antsRegistrationSyNQuick[b,32,26]",t1,BraTSReg_101,36.94797396659851,15.349726512652422,5.782271827737931
