RegistrationType,Modalities,Subject,TimeElapsed,PreLandmarkError,PostLandmarkError
"antsRegistrationSyN[s,2]",t1,BraTSReg_003,182.03265833854675,3.355994901265485,2.658167619249852
"antsRegistrationSyN[s,2]",t1ce,BraTSReg_003,171.9981291294098,3.355994901265485,1.4821077940920508
"antsRegistrationSyN[s,2]",flair,BraTSReg_003,181.88222694396973,3.355994901265485,1.6593830825097837
"antsRegistrationSyN[s,2]",t2,BraTSReg_003,168.86953902244568,3.355994901265485,2.079272837491968
"antsRegistrationSyN[b,2,26]",t1,BraTSReg_003,271.80666184425354,3.355994901265485,2.5059474301204188
"antsRegistrationSyN[b,2,26]",t1ce,BraTSReg_003,269.62225890159607,3.355994901265485,1.411429131831138
"antsRegistrationSyN[b,2,26]",flair,BraTSReg_003,280.56108689308167,3.355994901265485,2.5608371424242313
"antsRegistrationSyN[b,2,26]",t2,BraTSReg_003,274.9253830909729,3.355994901265485,2.066293645037755
"antsRegistrationSyN[s,4]",t1,BraTSReg_003,336.7123920917511,3.355994901265485,2.885333228209314
"antsRegistrationSyN[s,4]",t1ce,BraTSReg_003,378.92011976242065,3.355994901265485,1.4528322830782194
"antsRegistrationSyN[s,4]",flair,BraTSReg_003,345.734454870224,3.355994901265485,2.9709682109330746
"antsRegistrationSyN[s,4]",t2,BraTSReg_003,342.4386188983917,3.355994901265485,2.967397754228213
"antsRegistrationSyN[s,2]",t1,BraTSReg_004,177.19858407974243,3.7337491832678276,2.065515318589377
"antsRegistrationSyN[s,2]",t1ce,BraTSReg_004,175.52149772644043,3.7337491832678276,1.9773358427015155
"antsRegistrationSyN[s,2]",flair,BraTSReg_004,182.05334496498108,3.7337491832678276,2.2671543892110764
"antsRegistrationSyN[s,2]",t2,BraTSReg_004,187.91144013404846,3.7337491832678276,1.9251696440511925
"antsRegistrationSyN[b,2,26]",t1,BraTSReg_004,276.63175988197327,3.7337491832678276,2.0736745558559226
"antsRegistrationSyN[b,2,26]",t1ce,BraTSReg_004,270.19790387153625,3.7337491832678276,2.0018281042266444
"antsRegistrationSyN[b,2,26]",flair,BraTSReg_004,267.1625211238861,3.7337491832678276,2.2397835576256235
"antsRegistrationSyN[b,2,26]",t2,BraTSReg_004,259.6024808883667,3.7337491832678276,1.898194980783307
"antsRegistrationSyN[s,4]",t1,BraTSReg_004,343.02515268325806,3.7337491832678276,2.0158752452246858
"antsRegistrationSyN[s,4]",t1ce,BraTSReg_004,359.64198303222656,3.7337491832678276,2.0849174010726172
"antsRegistrationSyN[s,4]",flair,BraTSReg_004,336.06253695487976,3.7337491832678276,2.736402344087803
"antsRegistrationSyN[s,4]",t2,BraTSReg_004,351.0024039745331,3.7337491832678276,1.8577882215951043
"antsRegistrationSyN[s,2]",t1,BraTSReg_032,180.29299592971802,3.219103390285459,1.360046657380605
"antsRegistrationSyN[s,2]",t1ce,BraTSReg_032,168.26219081878662,3.219103390285459,1.5661806077564586
"antsRegistrationSyN[s,2]",flair,BraTSReg_032,165.27265000343323,3.219103390285459,3.4416073378712184
"antsRegistrationSyN[s,2]",t2,BraTSReg_032,174.31752109527588,3.219103390285459,2.440097329849044
"antsRegistrationSyN[b,2,26]",t1,BraTSReg_032,274.15013098716736,3.219103390285459,1.3540438854362513
"antsRegistrationSyN[b,2,26]",t1ce,BraTSReg_032,280.18034410476685,3.219103390285459,1.5541839163168312
